,city,state,population,total_food,latitude,longitude,total_scraped
460,Union City,California,75322,5009,37.5895780433906,-122.05612185299378,1000
461,Bethlehem,Pennsylvania,75293,1714,40.61651619236784,-75.36552429199219,1000
462,Evanston,Illinois,74895,1931,42.047751464985495,-87.69596099853516,1000
463,Jonesboro,Arkansas,74889,337,35.82654553485373,-90.66879272460938,338
464,Franklin,Tennessee,74794,1161,35.936942532492196,-86.80963368134766,1000
465,Missouri City,Texas,74561,11516,29.60460346817728,-95.530843275,1000
466,Bolingbrook,Illinois,74518,2599,41.707364587042996,-88.0804819126874,1000
467,Schaumburg,Illinois,74446,3675,42.03598829398322,-88.0805656076235,1000
468,Camden,New Jersey,74420,4776,39.93732692888958,-75.11559254260516,1000
469,Iowa City,Iowa,74398,394,41.6583182125283,-91.52286268572234,394
470,Warner Robins,Georgia,74388,395,32.59266350924982,-83.66226196289062,394
471,Appleton,Wisconsin,74370,593,44.267283432886074,-88.42071533203125,584
472,Rapid City,South Dakota,74048,281,44.080542383185254,-103.22479248046875,281
473,New Braunfels,Texas,73959,1041,29.7210586,-98.11834993004453,1000
474,Albany,Georgia,73801,248,31.577324181536863,-84.17449951171875,247
475,Temple,Texas,73600,930,31.1230149067488,-97.371826171875,926
476,Flower Mound,Texas,73547,3467,33.029348014868305,-97.0806239851052,1000
477,Rochester Hills,Michigan,73422,2614,42.66017547993065,-83.15173005029297,999
478,Southfield,Michigan,73100,4113,42.480153860335626,-83.25485513763635,999
479,Rock Hill,South Carolina,72937,938,34.98551196233051,-80.9991481,935
480,Turlock,California,72796,330,37.50481236996105,-120.85613250732422,330
481,Decatur,Illinois,72706,196,39.85910924862655,-88.9398193359375,196
482,New Britain,Connecticut,72558,746,41.68804110378791,-72.78061832094724,741
483,Apple Valley,California,72553,756,34.49406404547892,-117.22206115722656,748
484,Bismarck,North Dakota,72417,233,46.807063399405244,-100.76454162597656,234
485,Missoula,Montana,72364,354,46.877514075742454,-114.01336669921875,354
